id,cbo,rfc,lcom,ca,ce,npm,defects
1,10,22,15,1,10,4,0
2,7,39,28,3,6,1,1
3,28,108,69,3,28,8,2
4,2,6,1,1,2,2,0
5,5,28,0,2,4,1,1
6,1,4,1,0,1,2,0
7,11,33,1,3,11,2,0
8,3,33,28,1,2,7,1
9,36,7,21,36,0,7,0
10,5,31,20,2,4,1,0
11,6,20,0,1,5,4,1
12,4,50,2,1,3,4,0
13,5,29,2,1,4,4,1
14,117,337,10339,93,46,116,18
15,14,95,21,8,9,8,1
16,8,54,0,2,7,10,1
17,5,24,1,1,4,1,1
18,1,6,15,1,0,6,0
19,70,482,16336,53,37,193,23
20,9,6,1,3,6,1,0
21,4,11,6,2,2,4,0
22,12,63,27,8,8,1,0
23,8,8,1,1,7,1,0
24,9,19,3,0,9,2,2
25,31,14,7,31,1,6,1
26,11,77,51,5,10,1,0
27,5,27,3,1,5,3,0
28,28,155,517,7,26,8,1
29,5,11,0,1,4,0,0
30,4,18,0,4,1,8,0
31,7,24,0,1,6,3,0
32,14,53,0,9,7,21,1
33,10,2,0,9,1,1,0
34,6,16,0,4,5,2,0
35,7,39,46,3,6,21,7
36,4,27,10,2,3,3,0
37,132,209,1298,118,37,42,14
38,31,70,400,24,14,26,0
39,1,14,16,1,1,8,0
40,2,6,10,0,2,5,0
41,4,5,3,1,3,0,0
42,4,9,0,1,3,0,0
43,10,62,29,2,9,4,0
44,7,180,6075,6,1,27,0
45,41,73,217,34,16,18,1
46,15,81,49,3,14,3,1
47,29,3,3,29,0,3,0
48,17,2,0,17,0,1,0
49,9,38,48,4,5,11,3
50,7,6,1,1,6,1,0
51,4,13,0,2,2,5,0
52,33,76,119,26,16,11,3
53,4,16,4,1,4,2,0
54,19,33,40,15,6,13,2
55,7,20,4,1,6,2,0
56,12,35,3,7,5,3,0
57,8,32,0,4,5,7,0
58,10,42,66,7,4,12,3
59,4,18,1,1,3,3,0
60,3,12,0,2,1,3,0
61,69,53,38,69,1,7,0
62,53,23,43,53,1,11,1
63,8,28,3,7,2,8,0
64,8,29,25,3,7,9,0
65,7,50,25,3,6,1,0
66,7,5,1,2,5,2,0
67,3,17,10,1,3,5,0
68,6,6,2,6,0,5,0
69,17,38,15,3,14,1,0
70,12,95,43,4,10,9,2
71,4,3,1,3,1,1,0
72,11,72,98,1,11,8,3
73,3,7,3,0,3,3,0
74,5,25,24,3,5,8,1
75,5,11,9,2,3,6,0
76,10,47,21,4,8,7,4
